,Mall,RoadName,Latitude,Longitude
0,100 AM,TRAS STREET,1.2745882179999999,103.84347070000001
1,313@Somerset,ORCHARD ROAD,1.3010065690000001,103.83824659999999
2,Aperia,KALLANG AVENUE,1.30974242,103.8641016
3,Balestier Hill Shopping Centre,BALESTIER ROAD,1.326124169,103.8437095
4,Bugis Cube,NORTH BRIDGE ROAD,1.298195005,103.85565550000001
5,Bugis Junction,VICTORIA STREET,1.300117893,103.8561916
6,Bugis+,NIL,1.300007152,103.8556805
7,Capitol Piazza,STAMFORD ROAD,1.293063359,103.85129350000001
8,Cathay Cineleisure Orchard,GRANGE ROAD,1.301497434,103.8364448
9,City Gate,BEACH ROAD,1.302347543,103.86225999999999
10,City Square Mall,KITCHENER ROAD,1.31147745,103.8567808
11,CityLink Mall,RAFFLES LINK,1.292378607,103.854663
12,Duo,NIL,1.299216621,103.8579968
13,Far East Plaza,SCOTTS ROAD,1.3073111259999999,103.83394
14,Funan,NORTH BRIDGE ROAD,1.2912440059999999,103.8499848
15,Great World City,KIM SENG PROMENADE,1.293154929,103.831928
16,HDB Hub,LORONG 6 TOA PAYOH,1.33218812,103.8470778
17,ION Orchard,ORCHARD TURN,1.3040425340000001,103.83188829999999
18,Junction 8,BISHAN PLACE,1.3501724330000002,103.8484301
19,Liang Court,NIL,1.290658604,103.84454720000001
20,Liat Towers,ORCHARD ROAD,1.30510759,103.83072790000001
21,Lucky Plaza,ORCHARD ROAD,1.30446379,103.83400520000001
22,Marina Bay Financial Centre Tower 3,MARINA BOULEVARD,1.279124938,103.85445759999999
23,Marina Bay Link Mall,MARINA BOULEVARD,1.2804679429999999,103.85347009999998
24,Marina Bay Sands,NIL,1.283994101,103.85945059999999
25,Marina One,NIL,1.27704169,103.85340190000001
26,Marina Square,RAFFLES BOULEVARD,1.291117292,103.8577583
27,Midpoint Orchard,ORCHARD ROAD,1.301783782,103.8386606
28,Millenia Walk,RAFFLES BOULEVARD,1.292046053,103.8599002
29,Ngee Ann City,ORCHARD ROAD,1.302424172,103.8346761
30,Orchard Central,ORCHARD ROAD,1.300723504,103.83969240000002
31,Orchard Gateway,ORCHARD ROAD,1.300443253,103.8394428
32,Orchard Plaza,ORCHARD ROAD,1.30126533,103.84115179999999
33,Orchard Shopping Centre,ORCHARD ROAD,1.301484998,103.83788829999999
34,Palais Renaissance,ORCHARD ROAD,1.306654845,103.829588
35,Peoples Park Centre,NEW MARKET ROAD,1.284869802,103.8425077
36,Plaza Singapura,ORCHARD ROAD,1.300820718,103.8450673
37,Raffles City,BRAS BASAH ROAD,1.294076445,103.85333179999999
38,Scotts Square,NIL,1.3057629240000002,103.8330834
39,Serangoon Plaza,SERANGOON ROAD,1.310780752,103.8551468
40,Sim Lim Square,ROCHOR CANAL ROAD,1.303022985,103.85287559999999
41,Singapore Shopping Centre,CLEMENCEAU AVENUE,1.2981321479999999,103.8441384
42,Square 2,SINARAN DRIVE,1.320612586,103.8443315
43,Suntec City,NIL,1.295466756,103.85858499999999
44,Tanglin Mall,TANGLIN ROAD,1.304853421,103.8238835
45,Tangs,ORCHARD ROAD,1.304950056,103.8329711
46,Tanjong Pagar Centre,WALLICH STREET,1.276609528,103.8461808
47,Tekka Centre,BUFFALO ROAD,1.30617773,103.85061
48,The Centrepoint,ORCHARD ROAD,1.301978369,103.839759
49,The Paragon,ORCHARD ROAD,1.3039493640000002,103.8358442
50,The Shoppes at Marina Bay Sands,BAYFRONT AVENUE,1.284234913,103.8589822
51,The South Beach,BEACH ROAD,1.2949880440000001,103.8562762
52,Thomson Plaza,MARIGOLD DRIVE,1.3543252419999998,103.8303281
53,Velocity,THOMSON ROAD,1.319789492,103.84403359999999
54,Wheelock Place,ORCHARD ROAD,1.30453636,103.8307142
55,Wisma Atria,ORCHARD ROAD,1.303698907,103.8331896
56,Zhongshan Mall,AH HOOD ROAD,1.326945045,103.84655440000002
57,112 Katong,EAST COAST ROAD,1.305086818,103.90509890000001
58,Bedok Mall,NEW UPPER CHANGI ROAD,1.3246689740000002,103.9294055
59,Bedok Point,NEW UPPER CHANGI ROAD,1.324801026,103.932384
60,Century Square,TAMPINES CENTRAL 5,1.3523611309999999,103.9437848
61,Changi Airport,NIL,1.357220256,103.9873046
62,Changi City Point,CHANGI BUSINESS PARK CENTRAL 1,1.334036379,103.9629176
63,City Plaza,GEYLANG ROAD,1.314805223,103.8934183
64,Djitsun Mall Bedok,BEDOK NORTH STREET 1,1.326053199,103.92960459999999
65,Downtown East,NIL,1.377775842,103.9547736
66,East Village,NIL,1.331778949,103.94623670000001
67,Eastpoint Mall,SIMEI STREET 6,1.342586441,103.9530723
68,Elias Mall,ELIAS ROAD,1.378570261,103.9419891
69,Kallang Wave Mall,STADIUM PLACE,1.303843272,103.8727507
70,Katong Square,EAST COAST ROAD,1.3048533709999999,103.90457420000001
71,Katong V,EAST COAST ROAD,1.303850304,103.9028504
72,Kinex,TANJONG KATONG ROAD,1.314692135,103.8944805
73,Leisure Park Kallang,STADIUM WALK,1.302337453,103.87644920000001
74,Loyang Point,PASIR RIS STREET 21,1.36645364,103.9645985
75,Our Tampines Hub,TAMPINES WALK,1.353101202,103.9408486
76,Parkway Parade,MARINE PARADE ROAD,1.301080033,103.9052818
77,Paya Lebar Square,PAYA LEBAR ROAD,1.318675756,103.89255059999999
78,PLQ Mall,PAYA LEBAR ROAD,1.317482311,103.8928322
79,Singapore Post Centre,EUNOS ROAD 8,1.318871844,103.8947671
80,Tampines 1,TAMPINES CENTRAL 1,1.354315565,103.9450195
81,Tampines Mall,TAMPINES CENTRAL 5,1.3525802519999999,103.94469620000001
82,The Flow,EAST COAST ROAD,1.30455858,103.9042117
83,White Sands,PASIR RIS CENTRAL STREET 3,1.372398981,103.94974920000001
84,888 Plaza,WOODLANDS DRIVE 50,1.437130524,103.79528990000001
85,Admiralty Place,NIL,1.439880955,103.80179100000001
86,AMK Hub,ANG MO KIO AVENUE 3,1.3693892269999999,103.848478
87,Beauty World Centre,UPPER BUKIT TIMAH ROAD,1.342412642,103.7765394
88,Beauty World Plaza,UPPER BUKIT TIMAH ROAD,1.341787998,103.77630409999999
89,Broadway Plaza,ANG MO KIO AVENUE 6,1.371936464,103.8459738
90,Buangkok Square,BUANGKOK LINK,1.384334266,103.88162309999998
91,Bukit Panjang Plaza,JELEBU ROAD,1.379916507,103.7643171
92,Bukit Timah Plaza,JALAN ANAK BUKIT,1.338631653,103.77858540000001
93,Causeway Point,WOODLANDS SQUARE,1.4360886769999999,103.78601
94,Compass One,SENGKANG SQUARE,1.392094156,103.89498
95,Djitsun Mall,BEDOK NORTH STREET 1,1.326053199,103.92960459999999
96,Fajar Shopping Centre,FAJAR ROAD,1.384005825,103.77102959999999
97,Greenridge Shopping Centre,JELAPANG ROAD,1.385417687,103.7662355
98,Greenwich V,SELETAR ROAD,1.3876033019999998,103.86942359999999
99,Heartland Mall,HOUGANG STREET 21,1.359544509,103.8851691
100,Hillion Mall,PETIR ROAD,1.378498681,103.76302290000001
101,HillV2,HILLVIEW RISE,1.363550958,103.76423609999999
102,Hougang 1,HOUGANG STREET 91,1.375667283,103.8794503
103,Hougang Green Shopping Mall,HOUGANG STREET 51,1.379317835,103.88784709999999
104,Hougang Mall,HOUGANG AVENUE 10,1.3724367830000002,103.89372390000001
105,Junction 10,WOODLANDS ROAD,1.380605125,103.7600416
106,Junction 9,YISHUN AVENUE 9,1.433031982,103.8416008
107,Keat Hong Shopping Centre,CHOA CHU KANG AVENUE 1,1.377439635,103.7443832
108,Limbang Shopping Centre,CHOA CHU KANG STREET 51,1.392242406,103.74319100000001
109,Lot One,CHOA CHU KANG AVENUE 4,1.385069923,103.7452389
110,Marsiling Mall,WOODLANDS STREET 12,1.433512535,103.7797469
111,NEX,SERANGOON CENTRAL,1.3506755209999999,103.87186159999999
112,North East,TAMPINES WALK,1.352915886,103.9401979
113,North West,SOUTH WOODLANDS DRIVE,1.435044948,103.7868262
114,Northpoint City,NIL,1.428113577,103.83606309999999
115,Oasis Terraces,PUNGGOL DRIVE,1.402634601,103.91327059999999
116,Punggol Plaza,PUNGGOL FIELD,1.394184094,103.9129764
117,Rail Mall,UPPER BUKIT TIMAH ROAD,1.35773806,103.76814209999999
118,Rivervale Mall,RIVERVALE CRESCENT,1.3922173269999998,103.90447309999999
119,Rivervale Plaza,RIVERVALE DRIVE,1.385371516,103.90184959999999
120,Sembawang Shopping Centre,SEMBAWANG ROAD,1.4418532530000001,103.8248324
121,Sun Plaza,SEMBAWANG DRIVE,1.4482265380000001,103.8194621
122,Sunshine Place,CHOA CHU KANG AVENUE 3,1.377897277,103.73901550000001
123,Teck Whye Shopping Centre,TECK WHYE LANE,1.380047726,103.7524646
124,The Midtown,UPPER SERANGOON ROAD,1.37047941,103.8951285
125,The Seletar Mall,SENGKANG WEST AVENUE,1.391393061,103.87606770000001
126,Upper Serangoon Shopping Centre,UPPER SERANGOON ROAD,1.353480883,103.8788284
127,Waterway Point,PUNGGOL CENTRAL,1.4064261630000001,103.90223809999999
128,West Mall,BUKIT BATOK CENTRAL LINK,1.3501891659999998,103.749022
129,Wisteria Mall,YISHUN RING ROAD,1.417999263,103.8412365
130,Woodlands Mart,WOODLANDS AVENUE 6,1.44564787,103.7981623
131,Yew Tee Point,CHOA CHU KANG NORTH 6,1.397057415,103.7466621
132,Yew Tee Square,CHOA CHU KANG STREET 62,1.3980473619999998,103.7470848
133,Alexandra Retail Centre,ALEXANDRA ROAD,1.274148936,103.80139940000001
134,HarbourFront Centre,MARITIME SQUARE,1.2637968290000001,103.820219
135,VivoCity,HARBOURFRONT WALK,1.264394681,103.82180859999998
136,321 Clementi,CLEMENTI AVENUE 3,1.3120249179999999,103.7649605
137,Alexandra Central,ALEXANDRA ROAD,1.287456124,103.8054147
138,Anchorpoint,ALEXANDRA ROAD,1.28893478,103.8056078
139,Big Box,VENTURE AVENUE,1.331832698,103.7448792
140,Boon Lay Shopping Centre,BOON LAY PLACE,1.346373764,103.7124728
141,Fairprice Hub,BENOI ROAD,1.325617678,103.6784097
142,Gek Poh Shopping Centre,JURONG WEST STREET 75,1.3487440030000002,103.6982988
143,Grantral Mall,MACPHERSON ROAD,1.333722109,103.8875308
144,IMM,JURONG EAST STREET 21,1.334917588,103.74687709999999
145,JCube,JURONG EAST CENTRAL 1,1.333237851,103.74019129999999
146,Jem,JURONG GATEWAY ROAD,1.333054519,103.74343370000001
147,Jurong Point,JURONG WEST CENTRAL 2,1.339452004,103.706685
148,Pioneer Mall,JURONG WEST STREET 61,1.341591087,103.69702009999999
149,Queensway Shopping Centre,QUEENSWAY,1.287617926,103.8033911
150,Rochester Mall,ROCHESTER DRIVE,1.3054076559999999,103.78844670000001
151,Taman Jurong Shopping Centre,YUNG SHENG ROAD,1.334844875,103.720462
152,The Clementi Mall,COMMONWEALTH AVENUE WEST,1.315496754,103.76457020000001
153,The Star Vista,VISTA EXCHANGE GREEN,1.30697044,103.7884203
154,Tiong Bahru Plaza,TIONG BAHRU ROAD,1.2864712,103.8271583
155,West Coast Plaza,WEST COAST ROAD,1.303742583,103.7660929
